source	species	name
Birds	Tinamidae (tinamous)	Grey tinamou
Birds	Tinamidae (tinamous)	Solitary tinamou
Birds	Tinamidae (tinamous)	Black tinamou
Birds	Tinamidae (tinamous)	Great tinamou
Birds	Tinamidae (tinamous)	White-throated tinamou
Birds	Tinamidae (tinamous)	Tawny-breasted tinamou
Birds	Tinamidae (tinamous)	Highland tinamou
Birds	Tinamidae (tinamous)	Hooded tinamou
Birds	Tinamidae (tinamous)	Berlepsch's tinamou
Birds	Tinamidae (tinamous)	Cinereous tinamou
Birds	Tinamidae (tinamous)	Little tinamou
Birds	Tinamidae (tinamous)	Tepui tinamou
Birds	Tinamidae (tinamous)	Brown tinamou
Birds	Tinamidae (tinamous)	Undulated tinamou
Birds	Tinamidae (tinamous)	Pale-browed tinamou
Birds	Tinamidae (tinamous)	Brazilian tinamou
Birds	Tinamidae (tinamous)	Grey-legged tinamou
Birds	Tinamidae (tinamous)	Red-legged tinamou
Birds	Tinamidae (tinamous)	Yellow-legged tinamou
Birds	Tinamidae (tinamous)	Black-capped tinamou
Birds	Tinamidae (tinamous)	Thicket tinamou
Birds	Tinamidae (tinamous)	Slaty-breasted tinamou
Birds	Tinamidae (tinamous)	Choco tinamou
Birds	Tinamidae (tinamous)	Variegated tinamou
Birds	Tinamidae (tinamous)	Rusty tinamou
Birds	Tinamidae (tinamous)	Bartlett's tinamou
Birds	Tinamidae (tinamous)	Small-billed tinamou
Birds	Tinamidae (tinamous)	Barred tinamou
Birds	Tinamidae (tinamous)	Tataupa tinamou
Birds	Tinamidae (tinamous)	Red-winged tinamou
Birds	Tinamidae (tinamous)	Huayco tinamou
Birds	Tinamidae (tinamous)	Ornate tinamou
Birds	Tinamidae (tinamous)	Chilean tinamou
Birds	Tinamidae (tinamous)	Brushland tinamou
Birds	Tinamidae (tinamous)	Andean tinamou
Birds	Tinamidae (tinamous)	Curve-billed tinamou
Birds	Tinamidae (tinamous)	White-bellied nothura
Birds	Tinamidae (tinamous)	Lesser nothura
Birds	Tinamidae (tinamous)	Darwin's nothura
Birds	Tinamidae (tinamous)	Spotted nothura
Birds	Tinamidae (tinamous)	Chaco nothura
Birds	Tinamidae (tinamous)	Dwarf tinamou
Birds	Tinamidae (tinamous)	Elegant crested tinamou
Birds	Tinamidae (tinamous)	Quebracho crested tinamou
Birds	Tinamidae (tinamous)	Puna tinamou
Birds	Tinamidae (tinamous)	Patagonian tinamou
Birds	Struthionidae (ostriches)	Common ostrich
Birds	Struthionidae (ostriches)	Somali ostrich
Birds	Rheidae (rheas)	Greater rhea
Birds	Rheidae (rheas)	Lesser rhea
Birds	Casuariidae (cassowaries)	Southern cassowary
Birds	Casuariidae (cassowaries)	Dwarf cassowary
Birds	Casuariidae (cassowaries)	Northern cassowary
Birds	Dromaiidae (emu)	Emu
Birds	Apterygidae (kiwis)	Southern brown kiwi
Birds	Apterygidae (kiwis)	Northern brown kiwi
Birds	Apterygidae (kiwis)	Okarito kiwi
Birds	Apterygidae (kiwis)	Great spotted kiwi
Birds	Apterygidae (kiwis)	Little spotted kiwi
Birds	Apterygidae (kiwis)	Southern screamer
Birds	Anhimidae (screamers)	Northern screamer
Birds	Anhimidae (screamers)	Horned screamer
Birds	Anseranatidae (magpie goose)	Magpie goose
Birds	Anatidae (ducks, geese, and swans)	White-faced whistling duck
Birds	Anatidae (ducks, geese, and swans)	Black-bellied whistling duck
Birds	Anatidae (ducks, geese, and swans)	Spotted whistling duck
Birds	Anatidae (ducks, geese, and swans)	West Indian whistling duck
Birds	Anatidae (ducks, geese, and swans)	Fulvous whistling duck
Birds	Anatidae (ducks, geese, and swans)	Plumed whistling duck
Birds	Anatidae (ducks, geese, and swans)	Wandering whistling duck
Birds	Anatidae (ducks, geese, and swans)	Lesser whistling duck
Birds	Anatidae (ducks, geese, and swans)	White-backed duck
Birds	Anatidae (ducks, geese, and swans)	Cape Barren goose
Birds	Anatidae (ducks, geese, and swans)	Swan goose
Birds	Anatidae (ducks, geese, and swans)	Taiga bean goose
Birds	Anatidae (ducks, geese, and swans)	Tundra bean goose
Birds	Anatidae (ducks, geese, and swans)	Pink-footed goose
Birds	Anatidae (ducks, geese, and swans)	Greater white-fronted goose
Birds	Anatidae (ducks, geese, and swans)	Lesser white-fronted goose
Birds	Anatidae (ducks, geese, and swans)	Greylag goose
Birds	Anatidae (ducks, geese, and swans)	Bar-headed goose
Birds	Anatidae (ducks, geese, and swans)	Snow goose
Birds	Anatidae (ducks, geese, and swans)	Ross's goose
Birds	Anatidae (ducks, geese, and swans)	Emperor goose
Birds	Anatidae (ducks, geese, and swans)	Cackling goose
Birds	Anatidae (ducks, geese, and swans)	Nene
Birds	Anatidae (ducks, geese, and swans)	Canada goose
Birds	Anatidae (ducks, geese, and swans)	Brent goose
Birds	Anatidae (ducks, geese, and swans)	Barnacle goose
Birds	Anatidae (ducks, geese, and swans)	Red-breasted goose
Birds	Anatidae (ducks, geese, and swans)	Coscoroba swan
Birds	Anatidae (ducks, geese, and swans)	Black swan
Birds	Anatidae (ducks, geese, and swans)	Black-necked swan
Birds	Anatidae (ducks, geese, and swans)	Mute swan
Birds	Anatidae (ducks, geese, and swans)	Whooper swan
Birds	Anatidae (ducks, geese, and swans)	Trumpeter swan
Birds	Anatidae (ducks, geese, and swans)	Tundra swan
Birds	Anatidae (ducks, geese, and swans)	Whooper swan
Birds	Anatidae (ducks, geese, and swans)	Freckled duck
Birds	Anatidae (ducks, geese, and swans)	Blue duck
Birds	Anatidae (ducks, geese, and swans)	Flying steamer duck
Birds	Anatidae (ducks, geese, and swans)	Fuegian steamer duck
Birds	Anatidae (ducks, geese, and swans)	Falkland steamer duck
Birds	Anatidae (ducks, geese, and swans)	Chubut steamer duck
Birds	Anatidae (ducks, geese, and swans)	Torrent duck
Birds	Anatidae (ducks, geese, and swans)	Spur-winged goose
Birds	Anatidae (ducks, geese, and swans)	Comb duck
Birds	Anatidae (ducks, geese, and swans)	Knob-billed duck
Birds	Anatidae (ducks, geese, and swans)	Egyptian goose
Birds	Anatidae (ducks, geese, and swans)	Mauritius sheldgoose
Birds	Anatidae (ducks, geese, and swans)	Reunion sheldgoose
Birds	Anatidae (ducks, geese, and swans)	Orinoco goose
Birds	Anatidae (ducks, geese, and swans)	Andean goose
Birds	Anatidae (ducks, geese, and swans)	Upland goose
Birds	Anatidae (ducks, geese, and swans)	Kelp goose
Birds	Anatidae (ducks, geese, and swans)	Ashy-headed goose
Birds	Anatidae (ducks, geese, and swans)	Ruddy-headed goose
Birds	Anatidae (ducks, geese, and swans)	Common shelduck
Birds	Anatidae (ducks, geese, and swans)	Raja shelduck
Birds	Anatidae (ducks, geese, and swans)	Ruddy shelduck
Birds	Anatidae (ducks, geese, and swans)	South African shelduck
Birds	Anatidae (ducks, geese, and swans)	Australian shelduck
Birds	Anatidae (ducks, geese, and swans)	Paradise shelduck
Birds	Anatidae (ducks, geese, and swans)	Crested shelduck
Birds	Anatidae (ducks, geese, and swans)	Pink-eared duck
Birds	Anatidae (ducks, geese, and swans)	Salvadori's teal
Birds	Anatidae (ducks, geese, and swans)	Muscovy duck
Birds	Anatidae (ducks, geese, and swans)	White-winged duck
Birds	Anatidae (ducks, geese, and swans)	Hartlaub's duck
Birds	Anatidae (ducks, geese, and swans)	Wood duck
