source	name	description
Drugs	BLOW	Cocaine
Drugs	CANDY	Cocaine
Drugs	COKE	Cocaine
Drugs	DO A LINE	Cocaine
Drugs	FREEZE	Cocaine
Drugs	GIRL	Cocaine
Drugs	HAPPY DUST	Cocaine
Drugs	MAMA COCA	Cocaine
Drugs	MOJO	Cocaine
Drugs	MONSTER	Cocaine
Drugs	NOSE	Cocaine
Drugs	PIMP	Cocaine
Drugs	SHOT	Cocaine
Drugs	SMOKING GUN	Cocaine
Drugs	SNOW	Cocaine
Drugs	SUGAR	Cocaine
Drugs	SWEET STUFF	Cocaine
Drugs	WHITE POWDER	Cocaine
Drugs	BASE	Crack (a form of cocaine, smokeable)
Drugs	BEAT	Crack (a form of cocaine, smokeable)
Drugs	BLAST	Crack (a form of cocaine, smokeable)
Drugs	CASPER	Crack (a form of cocaine, smokeable)
Drugs	CHALK	Crack (a form of cocaine, smokeable)
Drugs	DEVIL	Crack (a form of cocaine, smokeable)
Drugs	GRAVEL	Crack (a form of cocaine, smokeable)
Drugs	HARDBALL	Crack (a form of cocaine, smokeable)
Drugs	HELL	Crack (a form of cocaine, smokeable)
Drugs	KRYPTONITE	Crack (a form of cocaine, smokeable)
Drugs	LOVE	Crack (a form of cocaine, smokeable)
Drugs	MOONROCKS	Crack (a form of cocaine, smokeable)
Drugs	ROCK	Crack (a form of cocaine, smokeable)
Drugs	SCRABBLE	Crack (a form of cocaine, smokeable)
Drugs	STONES	Crack (a form of cocaine, smokeable)
Drugs	TORNADO	Crack (a form of cocaine, smokeable)
Drugs	BACKWARDS	Depressants
Drugs	BLUE HEAVENS	Depressants
Drugs	DOWNIE	Depressants
Drugs	DROWSY HIGH	Depressants
Drugs	GREEN DRAGONS	Depressants
Drugs	IDIOT PILLS	Depressants
Drugs	JOY JUICE	Depressants
Drugs	M&M	Depressants
Drugs	NO WORRIES	Depressants
Drugs	PEANUT	Depressants
Drugs	RAINBOWS	Depressants
Drugs	RED BULLETS	Depressants
Drugs	STOPPERS	Depressants
Drugs	STUMBLER	Depressants
Drugs	TOOLES	Depressants
Drugs	YELLOW	Depressants
Drugs	APACHE	Fentanyl
Drugs	CHINA GIRL	Fentanyl
Drugs	CHINA TOWN	Fentanyl
Drugs	DANCE FEVER	Fentanyl
Drugs	FRIEND	Fentanyl
Drugs	GOODFELLAS	Fentanyl
Drugs	GREAT BEAR	Fentanyl
Drugs	HE-MAN	Fentanyl
Drugs	JACKPOT	Fentanyl
Drugs	KING IVORY	Fentanyl
Drugs	MURDER 8	Fentanyl
Drugs	POISON	Fentanyl
Drugs	TANGO AND CASH	Fentanyl
Drugs	TNT	Fentanyl
Drugs	CAPS	GHB (Gamma-hydroxybutyric acid)
Drugs	CHERRY METH	GHB (Gamma-hydroxybutyric acid)
Drugs	EVER CLEAR	GHB (Gamma-hydroxybutyric acid)
Drugs	EASY LAY	GHB (Gamma-hydroxybutyric acid)
Drugs	FANTASY	GHB (Gamma-hydroxybutyric acid)
Drugs	G	GHB (Gamma-hydroxybutyric acid)
Drugs	G-RIFFIC	GHB (Gamma-hydroxybutyric acid)
Drugs	GAMMA HYDRATE	GHB (Gamma-hydroxybutyric acid)
Drugs	GEORGIA HOME BOY	GHB (Gamma-hydroxybutyric acid)
Drugs	GRIEVOUS BODILY HARM	GHB (Gamma-hydroxybutyric acid)
Drugs	LIQUID ECSTASY	GHB (Gamma-hydroxybutyric acid)
Drugs	LIQUID X	GHB (Gamma-hydroxybutyric acid)
Drugs	SOAP	GHB (Gamma-hydroxybutyric acid)
Drugs	SODIUM OXYBATE	GHB (Gamma-hydroxybutyric acid)
Drugs	AUNT HAZEL	Heroin
Drugs	BIG H	Heroin
Drugs	BLACK PEARL	Heroin
Drugs	BROWN SUGAR	Heroin
Drugs	CAPITAL H	Heroin
Drugs	CHARLEY	Heroin
Drugs	CHINA WHITE	Heroin
Drugs	DOPE	Heroin
Drugs	GOOD HORSE	Heroin
Drugs	H	Heroin
Drugs	HARD STUFF	Heroin
Drugs	HERO	Heroin
Drugs	HEROINA	Heroin
Drugs	LITTLE BOY	Heroin
Drugs	MUD	Heroin
Drugs	PERFECT HIGH	Heroin
Drugs	SMACK	Heroin
Drugs	STUFF	Heroin
Drugs	TAR	Heroin
Drugs	AIR BLAST	Inhalants
Drugs	BOLT	Inhalants
Drugs	BOPPERS	Inhalants
Drugs	BULLET BOLT	Inhalants
Drugs	CLIMAX	Inhalants
Drugs	DISCORAMA	Inhalants
Drugs	HARDWARE	Inhalants
Drugs	HEART-ON	Inhalants
Drugs	HIGHBALL	Inhalants
Drugs	HONEY OIL	Inhalants
Drugs	HUFF	Inhalants
Drugs	LAUGHING GAS	Inhalants
Drugs	MEDUSA	Inhalants
Drugs	MOON GAS	Inhalants
Drugs	SATAN’S SECRET	Inhalants
Drugs	THRUST	Inhalants
Drugs	WHITEOUT	Inhalants
Drugs	BUMP	Ketamine
Drugs	CAT KILLER	Ketamine
Drugs	CAT VALIUM	Ketamine
Drugs	FORT DODGE	Ketamine
Drugs	GREEN	Ketamine
Drugs	HONEY OIL	Ketamine
Drugs	JET	Ketamine
Drugs	K	Ketamine
Drugs	KET	Ketamine
Drugs	KIT KAT	Ketamine
Drugs	PSYCHEDELIC HEROIN	Ketamine
Drugs	PURPLE	Ketamine
Drugs	SPECIAL K	Ketamine
Drugs	SPECIAL LA COKE	Ketamine
Drugs	SUPER ACID	Ketamine
Drugs	SUPER C	Ketamine
Drugs	VITAMIN K	Ketamine
Drugs	A	LSD (Lysergic acid diethylamide)
Drugs	ACID	LSD (Lysergic acid diethylamide)
Drugs	BLACK STAR	LSD (Lysergic acid diethylamide)
Drugs	BLOTTER	LSD (Lysergic acid diethylamide)
Drugs	BOOMERS	LSD (Lysergic acid diethylamide)
Drugs	CUBES	LSD (Lysergic acid diethylamide)
Drugs	ELVIS	LSD (Lysergic acid diethylamide)
Drugs	GOLDEN DRAGON	LSD (Lysergic acid diethylamide)
