type	Organization	Symbol	Greek or Latin crest writing[1]	Founded	Affiliation	Traditional emphasis
Fraternities	Acacia (Chapters)	AKAKIA	ΩΦΕΛΟΥΝΤΕΣ ΑΝΘΡΩΠΟΥΣ (Benefiting people) 	1904	NIC	Masonic (Masonic membership no longer required)
Fraternities	Adelphikos	Αδελφικοσ  [sic]	Αδελφικοσ  [sic] (brotherly) 	1913	Local, Grove City College	Christian
Fraternities	Alpha Chi Alpha	ΑΧΑ	Fidelis et Suavis (Loyal and sweet) 	1919	Local, Dartmouth College	Traditional
Fraternities	Alpha Chi Rho (Chapters)	ΑΧΡ	ΑΝΔΡΙΔΕΣΘΕ (Be Men) 	1895	NIC	Traditional
Fraternities	Alpha Delta Gamma (Chapters)	ΑΔΓ	Γνωσθέντες εφ φίλων  [sic] (Known by friends) 	1924	NIC	Jesuit
Fraternities	Alpha Delta Phi (Chapters)	ΑΔΦ	MANUS MULTAE COR UNUM (many hands one heart) 	1832	NIC	Originally a secret literary society, now traditional
Fraternities	Alpha Epsilon Pi (Chapters)	ΑΕΠ	ΕΣΠΟΝΔΑ (Having toasted -drinks-) 	1913	NIC	Jewish
Fraternities	Alpha Gamma Omega	ΑΓΩ	ΑΛΦΑ ΓΑΜΜΑ ΩΜΕΓΑ	1927	Unaffiliated national	Christian
Fraternities	Alpha Gamma Rho (Chapters)	ΑΓΡ	Αλφα Γαμμα Ρῶ  [sic]	1904	NIC	Agricultural
Fraternities	Alpha Kappa Lambda (Chapters)	ΑΚΛ	Αληθεια και Λογος  [sic] (Truth and Logos) 	1914	NIC	Traditional
Fraternities	Alpha Phi Alpha (Chapters)	ΑΦΑ	Αλφα Φι Αλφα	1906	NIC, NPHC	African-American
Fraternities	Alpha Phi Delta	ΑΦΔ		1914	NIC	Italian-American
Fraternities	Alpha Sigma Phi (Chapters)	ΑΣΦ	CAUSA LATET VIS EST NOTISSIMA (The cause is hidden, the result is well noticed) 	1845	NIC	Originally a sophomore society, now traditional
Fraternities	Alpha Tau Omega (Chapters)	ΑΤΩ		1865	NIC	Founded on Christian principles, now traditional
Fraternities	Beta Chi Theta (Chapters)	ΒΧΘ	Βητα Χι Θητα	1999	NIC, NAPA	South Asian
Fraternities	Beta Epsilon Gamma Gamma Alpha Rho Sigma	ΒΕΓΓΑΡΣ		1923	Local, Loyola University New Orleans	Jesuit
Fraternities	Beta Sigma Psi (Chapters)	ΒΣΨ	PER ASPERA AD ASTRA (through hardships to the stars) 	1925	NIC	Lutheran
Fraternities	Beta Theta Pi (Chapters)	ΒΘΠ		1839	NIC	Traditional
Fraternities	Beta Upsilon Chi	ΒΥΧ		1985	NIC	Christian
Fraternities	Bones Gate	BG		1901	Local, Dartmouth College	Traditional
Fraternities	Chi Gamma Epsilon	ΧΓΕ		1905 (1987)	Local, Dartmouth College	Traditional
Fraternities	Chi Heorot	ΧH		1897	Local, Dartmouth College	Traditional
Fraternities	Chi Phi (Chapters)	ΧΦ		1824	NIC	Traditional.
Fraternities	Chi Psi (Chapters)	ΧΨ		1841	NIC	Traditional
Fraternities	Delphic of Gamma Sigma Tau	ΓΣΤ	Δελφικοσ  [sic] (Delphics) 	1871	Unaffiliated national	Multicultural, originally literary society, traditional/social
Fraternities	Delta Chi (Chapters)	ΔΧ	LEGES (Laws) 	1890	NIC	Originally a law fraternity, now traditional
Fraternities	Delta Psi	ΔΨ		1850	Local, University of Vermont (currently inactive)	Originally secret literary society, now traditional
Fraternities	Delta Epsilon Psi	ΔΕΨ		1998	NIC	South Asian
Fraternities	Delta Kappa Epsilon (Chapters)	ΔΚΕ	Κηροθεν φιλοι α´ει  [sic] (Close friends for ever) 	1844	NIC	Originally secret society, now traditional
Fraternities	Delta Lambda Phi	ΔΛΦ		1986	NIC	Gay, bisexual, progressive
Fraternities	Delta Rho Upsilon	ΔΡΥ		1929	Local, Carroll University	Local/traditional
Fraternities	Delta Omega Epsilon	ΔΩΕ		1985	Unaffiliated national	Traditional and multicultural
Fraternities	Delta Phi (Chapters)	ΔΦ		1827	NIC	Originally secret society, now traditional
Fraternities	Delta Phi Omega (Chapters)	ΔΦΩ		1998	Unaffiliated national	South Asian
Fraternities	Delta Sigma Phi (Chapters)	ΔΣΦ		1899	NIC	Traditional/social
Fraternities	Delta Tau Delta (Chapters)	ΔΤΔ		1858	NIC	Originally literary society, now traditional
Fraternities	Delta Theta Sigma	ΔΘΣ	Δελτα Θητα Σιγμα  [sic]	1906	Unaffiliated national	Agricultural
Fraternities	Delta Upsilon (Chapters)	ΔΥ	Δικαία Ὑποθήκη (Justice, our foundation) 	1834	NIC	Traditional
Fraternities	FarmHouse (Chapters)	FH		1905	NIC	Originally agricultural, traditional
Fraternities	Gamma Zeta Alpha (Chapters)	ΓΖΑ		1987	NALFO	Latino
Fraternities	Iota Nu Delta	ΙΝΔ	ΑΔΕΛΦΟΣΥΝΗ ΑΙΩΝΙΑ (eternal brotherhood) 	1994	NIC	South Asian
Fraternities	Iota Phi Theta	ΙΦΘ		1963	NIC, NPHC	African-American
Fraternities	Kappa Alpha Order (Chapters)	ΚΑ	DIEU ES LES DAMES (God and the ladies) 	1865	NIC	Traditional/social
Fraternities	Kappa Alpha Society (Chapters)	ΚΑ		1825	NIC	Originally literary society, traditional/social
Fraternities	Kappa Alpha Psi (Chapters)	ΚΑΨ	τελειωσις  [sic] δια φιλανθρωπιαν νοησιν πιστιν  [sic] (perfection for the true belief in philanthrophy) 	1911	NIC, NPHC	African-American
Fraternities	Kappa Delta Phi (Chapters)	ΚΔΦ	Καππα Δελτα Φι (Kappa Delta Phi) 	1900	NIC	Traditional
Fraternities	Kappa Delta Rho (Chapters)	ΚΔΡ	Honor Super Omnia (Above all honor) 	1905	NIC	Traditional
Fraternities	Kappa Kappa Kappa	ΚΚΚ		1842	Local, Dartmouth College	Traditional
Fraternities	Kappa Sigma (Chapters)	ΚΣ	ΑΕΚΔΒ	1869	Unaffiliated international	Traditional
Fraternities	Lambda Alpha Upsilon (Chapters)	ΛΑΥ	Venceremos Porque Nacimos Para Triunfar (We will overcome because we are born to triumph) 	1985	NALFO	Latino
Fraternities	Lambda Chi Alpha (Chapters)	ΛΧΑ	PER CRUSCEM CRESCENS VIR QUISQUE VIR (Crescent in the Cross Every man a man) 	1909	Unaffiliated international	Traditional
Fraternities	Lambda Iota Society	ΛΙ		1836	Local, University of Vermont	Originally secret literary society, traditional
Fraternities	Lambda Phi Epsilon (Chapters)	ΛΦΕ	ΗΓΕΜΟΝΕΣ ΕΝ ΑΝΘΡΩΠΟΙΣ ΕΙΝΑΙ (Leaders Among Men) 	1981	NIC, NAPA	Asian
Fraternities	Lambda Sigma Upsilon (Chapters)	ΛΣΥ	Latinos Siempre Unidos (Latinos Always United) 	1979	NALFO, NIC	Latino
Fraternities	Lambda Theta Phi (Chapters)	ΛΘΦ		1975	NALFO, NIC	Latino
Fraternities	Lambda Upsilon Lambda (Chapters)	ΛΥΛ	La Unidad Para Siempre (The Unity For Ever) 	1982	NALFO	Latino
Fraternities	Nu Alpha Kappa (Chapters)	ΝΑΚ		1988	NIC	Latino
Fraternities	Nu Sigma Beta	ΝΣΒ		1937	CIPFI	Puerto Rican
Fraternities	Omega Delta Phi (Chapters)	ΩΔΦ	UNUS PROBITAS INTEGRITAS DUCTUS (One honest integrous leadership ) 	1987	NIC	Originally Latino, now multicultural
Fraternities	Omega Phi Gamma	ΩΦΓ	ΦΙΝΙΡΕ ΑΔ ΗΟΝΟΣ ΕΜΕΡΓΕΡΕ ΣΥΠΕΡΝΕ ΟΜΝΙΣ (Βound by Honor Rise above All) (Latin phrase written in Greek characters) 	1995	MGC	Asian, multicultural
Fraternities	Omega Psi Phi (Chapters)	ΩΨΦ		1911	NPHC	African-American
Fraternities	Phi Beta Sigma (Chapters)	ΦΒΣ		1914	NIC, NPHC	African-American
Fraternities	Phi Delta Alpha	ΦΔΑ		1884	Local, Dartmouth College	Traditional
Fraternities	Phi Delta Gamma	ΦΔΓ		1942	CIPFI	Puerto Rican
Fraternities	Phi Delta Psi	ΦΔΨ		1977	Unaffiliated national	African-American
Fraternities	Phi Delta Theta (Chapters)	ΦΔΘ	Εἰς ἀνῆρ οὐδείς ἀνῆρ (One man is no man) 	1848	Unaffiliated international	Originally nonsectarian, traditional
Fraternities	Phi Epsilon Chi	ΦΕΧ	Yo soy Phi Epsilon de corazón (I am Phi Epsilon from the heart) 	1943	CIPFI	Puerto Rican
Fraternities	Phi Eta Kappa	ΦΗΚ		1906	Local, University of Maine	Traditional
Fraternities	Phi Eta Mu	ΦΗΜ		1923	CIPFI	Puerto Rican
Fraternities	Phi Gamma Delta (Chapters)	FIJI	Φιλότης Γλυκυτάτη Δυναστεία (Beloved Sweetest Dynasty) 	1848	NIC	Traditional
Fraternities	Phi Iota Alpha (Chapters)	ΦΙΑ	SEMPER PARATI SEMPER JUNCTI (Always ready always joined) 	1931	NIC	Latino
Fraternities	Phi Kappa Pi	ΦΚΠ	Φιλαδελφια Καναδαιοι Παιδευομεθα (We are raised Canadians in philadelphy) 	1913	Unaffiliated, Canadian national	Traditional
Fraternities	Phi Kappa Psi (Chapters)	ΦΚΨ		1852	NIC	Originally service, traditional
Fraternities	Phi Kappa Sigma (Chapters)	ΦΚΣ	STELLIS AEQUUS DURANDO (Equal to the Stars in Endurance) 	1850	NIC	Originally secret order, traditional
Fraternities	Phi Kappa Tau (Chapters)	ΦΚΤ	ΑΞΙΟΣ ΕΣΤΙ Η ΤΗΝ ΝΙΚΗΝ (Is worthy of the victory) 	1906	NIC	Traditional
Fraternities	Phi Kappa Theta (Chapters)	ΦΚΘ		1889	NIC	Originally Catholic, Traditional
Fraternities	Phi Lambda Chi (Chapters)	ΦΛΧ		1925	NIC	Traditional
Fraternities	Phi Mu Alpha Sinfonia	ΦΜΑ		1898	NIMC	Music
Fraternities	Phi Mu Delta (Chapters)	ΦΜΔ		1918	NIC	Originally Commons Club, traditional
Fraternities	Phi Rho Eta	ΦΡΗ		1994	Unaffiliated national	African-American
Fraternities	Phi Sigma Alpha (Chapters)	ΦΣΑ	OMNE RARUM CARUM (all that is rare is wanted) 	1928	CIPFI	Puerto Rican/Hispanic
Fraternities	Phi Sigma Gamma	ΦΣΓ		1915-1916	Unaffiliated national	Osteopathic medicine
Fraternities	Phi Sigma Kappa (Chapters)	ΦΣΚ		1873	NIC	Traditional
Fraternities	Phi Sigma Nu	ΦΣΝ		1996	Unaffiliated national	Native American
Fraternities	Phi Sigma Phi	ΦΣΦ	Φι Σιγμα Φι	1988	NIC	Traditional
Fraternities	Pi Alpha Phi (Chapters)	ΠΑΦ	Πι Αλφα Φι	1929	NAPA	Asian
Fraternities	Pi Delta Psi (Chapters)	ΠΔΨ		1994	NAPA	Asian
Fraternities	Pi Kappa Alpha	ΠΚΑ		1868	NIC	Traditional
Fraternities	Pi Kappa Phi (Chapters)	ΠΚΦ	ΟΥΔΕΝ ΔΙΑΣΠΑΣΕΙ ΗΜΑΣ (Nothing shall tear us) 	1904	NIC	Traditional
Fraternities	Pi Lambda Phi (Chapters)	ΠΛΦ	NOSTROS AMEMUS (love our own) 	1895	NIC	Traditional
Fraternities	Psi Sigma Phi (Chapters)	ΨΣΦ		1990	NMGC	Multicultural
Fraternities	Psi Upsilon (Chapters)	ΨΥ	ΥΜΙΝ ΣΥΝΕΠΕΣΕ ΣΦΟΔΡΑ ΦΙΛΙΑ (Unto us has befallen a mighty friendship) 	1833	NIC	Traditional
Fraternities	Seal and Serpent			1905	Local, Cornell University	Traditional
Fraternities	Sigma Alpha Epsilon (Chapters)	ΣΑΕ	ΣΙΓΜΑ ΑΛΦΑ ΕΨΙΛΟΝ	1856	NIC	Traditional
Fraternities	Sigma Alpha Mu (Chapters)	ΣΑΜ	ΣΙΓΜΑ ΑΛΦΑ ΜΥ	1909	NIC	Originally Jewish, now traditional
Fraternities	Sigma Beta Rho (Chapters)	ΣΒΡ		1996	NIC, NAPA	Multicultural
Fraternities	Sigma Chi (Chapters)	ΣΧ	In Hoc Signo Vinces (In This Sign You Shall Conquer) 	1855	NIC	Originally literary society, traditional
Fraternities	Sigma Delta Alpha	ΣΔΑ	Excelencia Y Lealtad Entre Hermanos (Excellence and Loyalty Amongst Brothers) 	1992	Unaffiliated national	Latino
Fraternities	Sigma Lambda Beta (Chapters)	ΣΛΒ		1986	Unaffiliated national	Latino
Fraternities	Sigma Nu (Chapters)	ΣΝ		1869	NIC	Originally anti-hazing, traditional
Fraternities	Sigma Phi Delta (Chapters)	ΣΦΔ	Σίγμα Φί Δέλτα	1924	NIC	Engineering
Fraternities	Sigma Phi Epsilon (Chapters)	ΣΦΕ	Σίγμα Φί Ἕψιλόν	1901	NIC	Traditional
Fraternities	Sigma Phi Society	ΣΦ		1827	NIC	Originally secret society, traditional
Fraternities	Sigma Pi (Chapters)	ΣΠ	ΣΕΒΑΣΤΗ ΠΙΣΤΗΣ (Reverend Faith) 	1897	NIC	Originally literary society, traditional
Fraternities	Sigma Tau Gamma (Chapters)	ΣΤΓ		1920	NIC	Originally literary society, traditional
Fraternities	Sigma Thêta Pi	ΣΘΠ	Fraternitas, animi excelsitas ac dignitas (Fraternity, height and dignity of the soul) 	2003	Unaffiliated national	Francophone Greek
Fraternities	Tau Delta Phi	ΤΔΦ	ΤΑΥ ΔΕΛΤΑ ΦΙ	1910	NIC	Jewish social
Fraternities	Tau Epsilon Phi (Chapters)	ΤΕΦ	Ταύ Εψιλόν Φί	1910	NIC	Jewish social
Fraternities	Tau Kappa Epsilon (Chapters)	ΤΚΕ		1899	Unaffiliated international	Traditional
Fraternities	Tau Phi Sigma	ΤΦΣ		1992	NIC	Service and social, multicultural
Fraternities	Tau Psi Omega	ΤΨΩ		1996	MGC	Multicultural, community service based
Fraternities	Theta Chi (Chapters)	ΘΧ	ΘΗΡΟΠΟΣΑ ΧΕΙΡ (Assisting Hand) 	1856	NIC	Traditional/social
Fraternities	Theta Delta Chi (Chapters)	ΘΔΧ	ὀμόφρονα θυμόν ἔχοντες (Having united will) 	1847	NIC	Originally secret society, traditional/social
Fraternities	Theta Xi (Chapters)	ΘΞ	Juncti Juvant (United they Serve) 	1864	NIC	Originally engineering, social
Fraternities	Triangle Fraternity (Chapters)		Veritas Omnia Vincit (Truth Conquers All) 	1907	NIC	Engineering, architecture, and science
Fraternities	Trojan Knights			1921	Local, University of Southern California	Traditional
Fraternities	Zeta Beta Tau (Chapters)	ΖΒΤ		1898	NIC	Originally Jewish, traditional (no religious affiliation)
Fraternities	Zeta Phi Rho	ΖΦΡ		1995	Unaffiliated national	Multicultural
Fraternities	Zeta Psi (Chapters)	ΖΨ		1847	NIC	Traditional/social
Sororities	Alpha Chi Omega	ΑΧΩ	Συσπουδάσωμεν τά ανώτατα (Together Let Us Seek the Heights[2]) 	1885	NPC	Originally music, now traditional
