name_source	name	source	type	name1	name2	descr1	descr2	descr3	description
		Greek	Kings						Megareus of Onchestus, a king of Onchestus in Boeotia
	Termerus	Greek	mythological figures			Termerus			Termerus — A bandit killed by Heracles.
Παλαίμων	Palaemon	Greek	mythological figures			Palaemon	Παλαίμων	 — a Theban prince, made into a sea god along with his mother, Ino	Palaemon (Παλαίμων) — a Theban prince, made into a sea god along with his mother, Ino
		Greek	mythological figures						
Στύξ (Stýx)	Styx	Greek	The Twelve Titans						Titaness of the Underworld river Styx and personification of hatred.
Ναιάδες	Naiades	Greek	Rustic deities			Naiades	Ναιάδες	, fresh water nymphs	Naiades (Ναιάδες), fresh water nymphs
Ὀϊζύς	Oizys	Greek	Spirits			Oizys	Ὀϊζύς	, spirit of woe and misery	Oizys (Ὀϊζύς), spirit of woe and misery
	Theobule	Greek	mythological figures			Theobule			Theobule — The name of several mythological figures.
Ἀμαρυγκεύς	Amarynceus	Greek	mythological figures			Amarynceus	Ἀμαρυγκεύς	 — a chief of the Eleans.	Amarynceus (Ἀμαρυγκεύς) — a chief of the Eleans.
	Cragaleus	Greek	mythological figures			Cragaleus			Cragaleus — A man transformed into stone by Apollo.
Ἀμφίων	Amphion	Greek	mythological figures			Amphion	Ἀμφίων	 — the name of several mythological figures.	Amphion (Ἀμφίων) — the name of several mythological figures.
	Iphianassa	Greek	mythological figures			Iphianassa			Iphianassa — The name of several mythological figures.
		Greek	mythological figures						Iolaus, nephew of Heracles who aided his uncle in one of his Labors
Φοίβη	Phoebe	Greek	Deified mortals			Phoebe	Φοίβη	, wife of Pollux	Phoebe (Φοίβη), wife of Pollux
		Greek	Kings						Busiris, a king of Egypt
	Sthenelus	Greek	mythological figures			Sthenelus			Sthenelus — The name of several mythological figures.
Nῆσοι (Nē̂soi)	The Nesoi	Greek	Ancient Greek name						The goddesses of the islands and sea.
Κάστωρ	Castor	Greek	Deified mortals			Castor	Κάστωρ		Castor (Κάστωρ)
	Eumedes	Greek	mythological figures			Eumedes			Eumedes — The name of several mythological figures.
Ἑρμαφρόδιτος	Hermaphroditus	Greek	Spirits			Hermaphroditus	Ἑρμαφρόδιτος	, god of hermaphrodites, effeminate men and androgyny	Hermaphroditus (Ἑρμαφρόδιτος), god of hermaphrodites, effeminate men and androgyny
Ορμενος	Ormenos	Greek	Sea deities			Ormenos	Ορμενος		Ormenos (Ορμενος)
Ἀλκμήνη	Alcmene	Greek	mythological figures			Alcmene	Ἀλκμήνη	 — mother of Heracles.	Alcmene (Ἀλκμήνη) — mother of Heracles.
		Greek	Seers/oracles						Calchas, an Argive seer who aided the Greeks during the Trojan War
	Epeius	Greek	mythological figures			Epeius			Epeius — The name of several mythological figures.
Ἑρμιόνη	Hermione	Greek	Notable women			Hermione	Ἑρμιόνη	, daughter of Menelaus and Helen; wife of Neoptolemus, and later Orestes	Hermione (Ἑρμιόνη), daughter of Menelaus and Helen; wife of Neoptolemus, and later Orestes
		Greek	Kings						Cres, an early Cretan king
		Greek	Seers/oracles						Idmon, a seer who sailed with the Argonauts
Αδράστεια	Adrasteia	Greek	Rustic deities			Adrasteia	Αδράστεια	, a nursemaid of the infant Zeus	Adrasteia (Αδράστεια), a nursemaid of the infant Zeus
Διώνη (Diṓnē)	Dione	Greek	The Twelve Titans						Titaness of the oracle of Dodona.
Αλκίνους or Ἀλκίνοος	Alcinous	Greek	Kings			Alcinous	Αλκίνους or Ἀλκίνοος	, a king of Phaeacia	Alcinous (Αλκίνους or Ἀλκίνοος), a king of Phaeacia
Πολυμάθεια	Polymatheia	Greek	Other deities			Polymatheia	Πολυμάθεια	, muse of knowledge	Polymatheia (Πολυμάθεια), muse of knowledge
Κρόνος	Cronus	Greek	Chthonic deities			Cronus	Κρόνος	, deposed king of the Titans; after his release from Tartarus he was appointed king of the Island of the Blessed	Cronus (Κρόνος), deposed king of the Titans; after his release from Tartarus he was appointed king of the Island of the Blessed
	Gerana	Greek	mythological figures			Gerana			Gerana — A Pygmy queen changed into a crane.
	Carius	Greek	mythological figures			Carius			Carius — A son of Zeus believed to have learned music from nymphs.
	Pandarus	Greek	mythological figures			Pandarus			Pandarus — A Trojan archer who fought in the Trojan War.
	Ilioneus	Greek	mythological figures			Ilioneus			Ilioneus — The name of several mythological figures.
	Demonice	Greek	mythological figures			Demonice			Demonice — The name of several mythological figures.
		Greek	mythological figures						Aegimius, a king of Thessaly and progenitor of the Dorians
	Cerdo	Greek	mythological figures			Cerdo			Cerdo — wife of Phoroneus.
Θάληστρις	Thalestris	Greek	Amazons			Thalestris	Θάληστρις	, a queen of the Amazons	Thalestris (Θάληστρις), a queen of the Amazons
		Greek	Seers/oracles						Carya, a seer and lover of Dionysus
Γαῖα (Gaîa)	Gaia (Gaea)	Greek	Ancient Greek name			Personification of the Earth	Mother Earth	; mother of the Titans.	Personification of the Earth (Mother Earth); mother of the Titans.
		Greek	Kings						Cyzicus, king of the Dolionians, mistakenly killed by the Argonauts
Πενθεσίλεια	Penthesilea	Greek	Amazons			Penthesilea	Πενθεσίλεια	, an Amazon queen who fought in the Trojan War on the side of Troy	Penthesilea (Πενθεσίλεια), an Amazon queen who fought in the Trojan War on the side of Troy
		Animals							Nyala
Αρετούσα	Arethusa	Greek	Sea deities			Arethusa	Αρετούσα	, a daughter of Nereus who was transformed into a fountain	Arethusa (Αρετούσα), a daughter of Nereus who was transformed into a fountain
		Animals							Dabchick
		Greek	Kings						Telephus, a king of Mysia and son of Heracles
