type	Organization	Symbol	Greek or Latin crest writing[1]	Founded	Affiliation	Traditional emphasis
Fraternities	Acacia (Chapters)	AKAKIA	Ω_________ ____Ω____ (Benefiting people) 	1904	NIC	Masonic (Masonic membership no longer required)
Fraternities	Adelphikos	_________  [sic]	_________  [sic] (brotherly) 	1913	"Local, Grove City College"	Christian
Fraternities	Alpha Chi Alpha	___	Fidelis et Suavis (Loyal and sweet) 	1919	"Local, Dartmouth College"	Traditional
Fraternities	Alpha Chi Rho (Chapters)	___	__________ (Be Men) 	1895	NIC	Traditional
Fraternities	Alpha Delta Gamma (Chapters)	___	__________ __ _____  [sic] (Known by friends) 	1924	NIC	Jesuit
Fraternities	Alpha Delta Phi (Chapters)	___	MANUS MULTAE COR UNUM (many hands one heart) 	1832	NIC	"Originally a secret literary society, now traditional"
Fraternities	Alpha Epsilon Pi (Chapters)	___	_______ (Having toasted -drinks-) 	1913	NIC	Jewish
Fraternities	Alpha Gamma Omega	__Ω	____ _____ Ω____	1927	Unaffiliated national	Christian
Fraternities	Alpha Gamma Rho (Chapters)	___	____ _____ __  [sic]	1904	NIC	Agricultural
Fraternities	Alpha Kappa Lambda (Chapters)	___	_______ ___ _____  [sic] (Truth and Logos) 	1914	NIC	Traditional
Fraternities	Alpha Phi Alpha (Chapters)	___	____ __ ____	1906	"NIC, NPHC"	African-American
Fraternities	Alpha Phi Delta	___		1914	NIC	Italian-American
Fraternities	Alpha Sigma Phi (Chapters)	___	"CAUSA LATET VIS EST NOTISSIMA (The cause is hidden, the result is well noticed) "	1845	NIC	"Originally a sophomore society, now traditional"
Fraternities	Alpha Tau Omega (Chapters)	__Ω		1865	NIC	"Founded on Christian principles, now traditional"
Fraternities	Beta Chi Theta (Chapters)	___	____ __ ____	1999	"NIC, NAPA"	South Asian
Fraternities	Beta Epsilon Gamma Gamma Alpha Rho Sigma	_______		1923	"Local, Loyola University New Orleans"	Jesuit
Fraternities	Beta Sigma Psi (Chapters)	___	PER ASPERA AD ASTRA (through hardships to the stars) 	1925	NIC	Lutheran
Fraternities	Beta Theta Pi (Chapters)	___		1839	NIC	Traditional
Fraternities	Beta Upsilon Chi	___		1985	NIC	Christian
Fraternities	Bones Gate	BG		1901	"Local, Dartmouth College"	Traditional
Fraternities	Chi Gamma Epsilon	___		1905 (1987)	"Local, Dartmouth College"	Traditional
Fraternities	Chi Heorot	_H		1897	"Local, Dartmouth College"	Traditional
Fraternities	Chi Phi (Chapters)	__		1824	NIC	Traditional.
Fraternities	Chi Psi (Chapters)	__		1841	NIC	Traditional
Fraternities	Delphic of Gamma Sigma Tau	___	________  [sic] (Delphics) 	1871	Unaffiliated national	"Multicultural, originally literary society, traditional/social"
Fraternities	Delta Chi (Chapters)	__	LEGES (Laws) 	1890	NIC	"Originally a law fraternity, now traditional"
Fraternities	Delta Psi	__		1850	"Local, University of Vermont (currently inactive)"	"Originally secret literary society, now traditional"
Fraternities	Delta Epsilon Psi	___		1998	NIC	South Asian
Fraternities	Delta Kappa Epsilon (Chapters)	___	_______ _____ _´__  [sic] (Close friends for ever) 	1844	NIC	"Originally secret society, now traditional"
Fraternities	Delta Lambda Phi	___		1986	NIC	"Gay, bisexual, progressive"
Fraternities	Delta Rho Upsilon	___		1929	"Local, Carroll University"	Local/traditional
Fraternities	Delta Omega Epsilon	_Ω_		1985	Unaffiliated national	Traditional and multicultural
Fraternities	Delta Phi (Chapters)	__		1827	NIC	"Originally secret society, now traditional"
Fraternities	Delta Phi Omega (Chapters)	__Ω		1998	Unaffiliated national	South Asian
Fraternities	Delta Sigma Phi (Chapters)	___		1899	NIC	Traditional/social
Fraternities	Delta Tau Delta (Chapters)	___		1858	NIC	"Originally literary society, now traditional"
Fraternities	Delta Theta Sigma	___	_____ ____ _____  [sic]	1906	Unaffiliated national	Agricultural
Fraternities	Delta Upsilon (Chapters)	__	"______ _π_____ (Justice, our foundation) "	1834	NIC	Traditional
Fraternities	FarmHouse (Chapters)	FH		1905	NIC	"Originally agricultural, traditional"
Fraternities	Gamma Zeta Alpha (Chapters)	___		1987	NALFO	Latino
Fraternities	Iota Nu Delta	___	__________ __Ω___ (eternal brotherhood) 	1994	NIC	South Asian
